Architecture,Recognition_Spec,CFI,RMSEA,Δ_CFI_vs_Original
Faircloth,TOM+SAW,0.9487947224428323,0.07145015631060102,0
Faircloth,BA_T_z only,0.9459488047752487,0.07797681999981536,-0.002845917667583575
Faircloth,TOM+SAW+BA_T_z,0.936817818153647,0.07235531387687202,-0.011976904289185297
Boenigk,TOM+SAW,0.9940546555004307,0.03174910443107177,0
Boenigk,BA_T_z only,0.9887949630698554,0.04697692898692001,-0.005259692430575336
Boenigk,TOM+SAW+BA_T_z,0.986954051209714,0.04274419940169986,-0.007100604290716683
