Architecture,Model,Estimator,CFI,RMSEA,SRMR,Delta_CFI
Boenigk,Ordinal RC_Awareness (WLSMV),WLSMV,0.9900313523504138,0.04350520903772894,0.0326613716975704,NA
Boenigk,Binary TOM+SAW (MLR),MLR,0.9940546555004307,0.03174910443107177,0.02597263990719832,-0.004023303150016866
Faircloth,Ordinal RC_Awareness (WLSMV),WLSMV,0.9813153153976135,0.050947373482896526,0.05816084630503207,NA
Faircloth,Binary TOM+SAW (MLR),MLR,0.9487947224428323,0.07145015631060102,0.057692854258190894,0.03252059295478127
