Outcome,RC_Awareness_r,RC_Awareness_R2pct,BA_T_z_r,BA_T_z_R2pct,Winner
OF02_01_num,0.111,1.24,0.042,0.18,RC_Awareness
OF02_02_num,0.208,4.32,0.073,0.53,RC_Awareness
OF02_03_num,0.208,4.33,0.082,0.67,RC_Awareness
OF01,0.209,4.37,0.021,0.05,RC_Awareness
OF_Spender,0.338,11.46,0.032,0.1,RC_Awareness
